Date,Open,High,Low,Close,Adj Close,Volume,Change
24-01-2022,6.338,6.338,6.3186,6.3377,6.3377,0,-0.0079
25-01-2022,6.3298,6.3304,6.3169,6.3298,6.3298,0,-0.0033
26-01-2022,6.3265,6.3265,6.3109,6.3265,6.3265,0,-0.0069
27-01-2022,6.3196,6.3678,6.3195,6.3196,6.3196,0,0.0473
28-01-2022,6.3669,6.3669,6.3469,6.3669,6.3669,0,-0.0159
31-01-2022,6.36,6.36,6.3595,6.351,6.351,0,0.0085
01-02-2022,6.3595,6.36,6.3595,6.3595,6.3595,0,0
02-02-2022,6.3595,6.3595,6.3595,6.3595,6.3595,0,0
03-02-2022,6.3595,6.36,6.3595,6.3595,6.3595,0,0
04-02-2022,6.3595,6.3595,6.3595,6.3595,6.3595,0,0
07-02-2022,6.3317,6.3518,6.3317,6.3595,6.3595,0,-0.0072
08-02-2022,6.3523,6.3705,6.3488,6.3523,6.3523,0,0.0134
09-02-2022,6.3657,6.3657,6.351,6.3657,6.3657,0,-0.0043
10-02-2022,6.3614,6.3619,6.3441,6.3614,6.3614,0,-0.0088
11-02-2022,6.3526,6.3647,6.3445,6.3526,6.3526,0,0.0005
14-02-2022,6.3536,6.362,6.3454,6.3531,6.3531,0,0.0028
15-02-2022,6.3559,6.3566,6.3286,6.3559,6.3559,0,-0.0179
16-02-2022,6.338,6.3405,6.3332,6.338,6.338,0,-0.0024
17-02-2022,6.3356,6.3382,6.3211,6.3356,6.3356,0,0.0002
18-02-2022,6.3358,6.3374,6.3161,6.3358,6.3358,0,-0.0116
21-02-2022,6.3246,6.3355,6.321,6.3242,6.3242,0,0.01
22-02-2022,6.3342,6.3501,6.314,6.3342,6.3342,0,-0.0089
23-02-2022,6.3253,6.33,6.3039,6.3253,6.3253,0,-6.3253
