Date,Open,High,Low,Close,Adj Close,Volume
24-01-2023,702,714.5,700,702.099976,702.099976,1092923
25-01-2023,703,704.950012,686,689.400024,689.400024,864582
27-01-2023,691,692.5,660,665.950012,665.950012,1736675
30-01-2023,649,684,639.200012,656.5,656.5,3024474
31-01-2023,660,662.900024,650.799988,653.299988,653.299988,1811224
01-02-2023,660,665.400024,582.349976,598.450012,598.450012,6326960
02-02-2023,583.150024,606,583.150024,599.099976,599.099976,3377223
03-02-2023,602.099976,604.5,586,599.049988,599.049988,2276729
06-02-2023,602,607.400024,597,599.900024,599.900024,1567204
07-02-2023,602,618.200012,601.25,603.049988,603.049988,2084510
08-02-2023,605,612.599976,604.5,610.25,610.25,1374494
09-02-2023,613.349976,618,609.599976,613.150024,613.150024,1434333
10-02-2023,630,640,617.049988,620.049988,620.049988,3943115
13-02-2023,621,623.650024,605.349976,606.700012,606.700012,1315642
14-02-2023,605.049988,609.700012,596.200012,598.049988,598.049988,1528074
15-02-2023,595.099976,603.950012,595.099976,601,601,933878
16-02-2023,604.049988,606.25,602,602.799988,602.799988,703040
17-02-2023,603,605.75,600.299988,602.650024,602.650024,642400
20-02-2023,605,605,596.400024,598.5,598.5,885378
21-02-2023,600,601.299988,595.900024,597.150024,597.150024,648784
22-02-2023,597,598.700012,593.450012,595.950012,595.950012,761922
23-02-2023,596,598.950012,590.099976,590.900024,590.900024,916630
