Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
NIFTY 50,17156.30,17196.40,17003.05,17014.45,-312.90,-1.81,1896.94,10512.18,18604.45,15183.40,-4.54,-3.35
NESTLEIND,18495.80,18850.00,18450.00,18765.00,269.10,1.45,0.41,77.38,20200.00,16000.00,-5.41,-4.61
DIVISLAB,3634.80,3696.40,3590.00,3686.90,44.30,1.22,2.09,76.51,5425.10,3365.55,-29.26,5.44
HCLTECH,891.25,905.50,882.00,903.60,7.75,0.87,17.23,154.36,1377.75,877.35,-31.97,-4.80
INFY,1360.00,1378.90,1355.00,1376.00,10.55,0.77,29.95,409.98,1953.90,1355.00,-21.04,-10.50
ASIANPAINT,3370.00,3421.80,3354.00,3410.10,14.85,0.44,5.12,173.77,3590.00,2560.00,2.69,0.92
SUNPHARMA,917.95,926.35,911.00,923.20,2.10,0.23,13.64,125.41,967.05,733.70,19.92,4.79
BRITANNIA,3796.70,3827.85,3775.50,3804.45,7.75,0.20,3.49,132.88,4098.95,3050.00,-5.89,3.97
HINDUNILVR,2668.50,2729.00,2662.05,2683.65,1.60,0.06,12.42,334.59,2817.70,1901.55,-3.55,3.69
BPCL,312.00,315.95,308.15,311.35,-0.60,-0.19,26.09,81.38,470.00,293.35,-25.86,-5.52
CIPLA,1065.70,1068.90,1050.85,1065.00,-3.10,-0.29,3.00,31.80,1101.85,850.00,10.01,2.67
DRREDDY,4119.20,4145.40,4089.30,4117.95,-21.25,-0.51,1.35,55.33,5077.00,3654.00,-14.16,-2.37
BHARTIARTL,769.95,771.15,763.50,765.45,-5.90,-0.76,94.89,728.54,797.00,628.75,5.32,3.61
TECHM,1029.00,1029.45,1013.55,1026.70,-8.40,-0.81,8.33,85.19,1838.00,943.70,-32.52,-4.13
TCS,2959.85,2965.60,2926.10,2955.70,-26.35,-0.88,10.50,309.38,4043.00,2926.10,-23.61,-9.20
SHREECEM,21150.00,21275.00,20777.20,20987.95,-213.50,-1.01,0.30,62.44,30090.50,17865.20,-29.85,-1.69
SBILIFE,1271.80,1271.80,1254.00,1256.75,-16.25,-1.28,4.02,50.69,1340.35,1003.50,3.16,-2.39
ULTRACEMCO,6119.95,6156.95,6053.00,6060.80,-79.15,-1.29,1.61,98.52,8269.00,5157.05,-20.46,-6.88
WIPRO,392.00,392.60,384.60,389.20,-5.15,-1.31,39.10,151.57,739.85,384.60,-42.28,-6.48
KOTAKBANK,1836.00,1858.00,1830.55,1837.55,-25.15,-1.35,7.60,140.19,2253.00,1631.00,-9.21,-1.61
LT,1849.00,1850.90,1818.00,1831.35,-25.50,-1.37,4.64,84.88,2078.55,1456.35,3.48,-3.27
RELIANCE,2394.05,2417.80,2392.20,2405.05,-34.45,-1.41,15.78,379.66,2856.15,2180.00,-3.41,-8.89
TATACONSUM,779.00,779.15,762.00,769.45,-12.10,-1.55,4.62,35.58,863.00,650.20,-9.55,-4.50
HDFCBANK,1425.35,1435.90,1418.00,1420.15,-26.00,-1.80,18.26,260.27,1725.00,1271.60,-9.54,-3.58
BAJAJ-AUTO,3668.90,3686.75,3609.60,3629.95,-68.95,-1.86,1.07,38.92,4131.75,3027.05,-4.45,-10.72
HDFC,2320.90,2341.60,2307.25,2308.30,-44.95,-1.91,9.33,216.65,3021.10,2026.00,-18.07,-5.34
GRASIM,1677.05,1693.00,1656.70,1664.00,-33.40,-1.97,3.12,52.07,1929.80,1276.60,3.56,3.21
ICICIBANK,870.00,877.90,862.00,864.00,-18.25,-2.07,46.76,406.48,936.65,642.15,20.50,-1.06
ITC,344.85,345.95,338.00,339.15,-7.25,-2.09,60.96,207.98,349.55,207.00,39.86,7.98
HEROMOTOCO,2740.00,2740.00,2670.20,2698.10,-63.95,-2.32,2.49,67.13,2950.00,2146.85,-5.43,-3.86
SBIN,545.80,549.00,533.00,536.60,-14.00,-2.54,59.76,322.07,578.50,425.00,19.30,3.33
NTPC,162.45,163.85,159.15,159.75,-4.20,-2.56,97.59,156.55,176.15,119.10,26.58,-0.65
AXISBANK,759.00,763.50,744.55,746.05,-22.55,-2.93,43.15,325.28,866.90,618.25,-8.14,-0.55
BAJAJFINSV,1700.00,1745.10,1667.55,1668.90,-53.00,-3.08,19.70,336.01,1932.50,1072.72,-90.98,-89.78
HDFCLIFE,535.00,536.45,520.00,522.20,-17.25,-3.20,15.33,80.85,741.70,497.05,-27.94,-7.84
INDUSINDBK,1170.00,1172.25,1135.70,1144.05,-39.30,-3.32,15.85,182.43,1275.80,763.20,-2.15,3.83
COALINDIA,221.00,222.10,214.70,215.15,-7.70,-3.46,35.29,76.85,240.50,139.15,28.56,-3.80
TITAN,2666.00,2666.00,2576.15,2577.90,-94.55,-3.54,3.62,94.56,2768.00,1825.05,22.46,4.76
ONGC,127.30,128.80,122.80,123.95,-4.65,-3.62,64.49,80.35,194.95,119.85,-10.02,-8.86
MARUTI,9270.30,9270.30,8920.50,8974.95,-368.50,-3.94,3.00,271.26,9451.00,6536.55,31.08,3.11
UPL,698.00,701.95,670.40,674.60,-28.25,-4.02,7.82,53.19,848.00,607.50,-7.19,-11.21
M&M,1250.00,1258.95,1220.25,1220.95,-51.35,-4.04,12.21,150.40,1338.00,671.15,60.98,-3.73
APOLLOHOSP,4418.45,4420.45,4191.10,4236.00,-182.45,-4.13,3.46,147.43,5935.40,3361.55,-16.68,0.60
JSWSTEEL,659.20,661.95,640.20,640.75,-28.25,-4.22,9.44,61.35,790.00,520.05,-5.39,-1.65
BAJFINANCE,7437.00,7460.00,7167.35,7172.90,-334.25,-4.45,9.84,724.61,8050.00,5220.00,-9.19,-0.06
ADANIPORTS,909.00,909.90,867.10,868.90,-44.90,-4.91,44.97,398.63,987.85,651.95,15.16,3.90
TATASTEEL,104.40,104.45,98.50,99.10,-5.20,-4.99,510.10,511.78,142.66,82.70,-92.49,-6.99
EICHERMOT,3669.85,3669.95,3490.30,3494.95,-193.50,-5.25,3.83,135.49,3787.25,2159.55,22.33,1.28
HINDALCO,390.00,390.00,369.60,374.20,-22.15,-5.59,58.05,219.28,636.00,308.95,-22.57,-12.74
TATAMOTORS,416.00,417.90,394.50,394.95,-28.15,-6.65,156.97,631.40,536.70,313.20,22.85,-14.73
POWERGRID,200.00,201.05,186.35,188.75,-13.80,-6.81,274.30,522.88,248.35,175.10,5.89,-17.74
