,TV,radio,newspaper,sales,yhat,err sq,,,,,,,,
1,230.1,37.8,69.2,22.1,20.49507187,2.575794312,,,alpha,3.017684696,,,alpha,0
2,44.5,39.3,45.1,10.4,12.27725794,3.524097383,,,beta1,0.045762427,,,beta1,0
3,17.2,45.9,69.3,9.3,12.24099097,8.649427892,,,beta2,0.183795044,,,beta2,0
4,151.5,41.3,58.5,18.5,17.54142774,0.918860772,,,beta3,0,,,Beta3,0
5,180.8,10.8,58.4,12.9,13.27651801,0.141765814,,,,,,,,
6,8.7,48.9,75,7.2,12.40339547,27.07532444,,,L,1000,,,L,1000
7,57.5,32.8,23.5,11.8,11.67750171,0.015005831,,,P,35.87481801,,,P,0
8,120.2,19.6,11.6,13.2,12.12071131,1.164864071,,,,,,,,
9,8.6,2.1,1,4.8,3.797211162,1.005585453,,,,,,,,
10,199.8,2.6,21.2,10.6,12.63888477,4.157051096,,,,Sum Error,593.5614738,,,557.6866558
11,66.1,5.8,24.2,8.6,7.108592391,2.224296658,,,,,,,,
12,214.7,24,4,17.4,17.25395888,0.021328009,,,,,,,,
13,23.8,35.1,65.9,9.2,10.55803651,1.844263172,,,,,,,,
14,97.5,7.6,7.2,9.7,8.876363685,0.67837678,,,,,,,,
15,204.1,32.9,46,19,18.40465304,0.354437999,,,,,,,,
16,195.4,47.7,52.9,22.4,20.72668658,2.799977801,,,,,,,,
17,67.8,36.6,114,12.5,12.84727588,0.120600535,,,,,,,,
18,281.4,39.6,55.8,24.4,23.17351546,1.50426432,,,,,,,,
19,69.2,20.5,18.3,11.3,9.952243064,1.816448758,,,,,,,,
20,147.3,23.9,19.1,14.6,14.15119178,0.201428819,,,,,,,,
21,218.4,27.7,53.4,18,18.10332152,0.010675337,,,,,,,,
22,237.4,5.1,23.5,12.5,14.81903964,5.377944858,,,,,,,,
23,13.2,15.9,49.6,5.6,6.544089937,0.891305809,,,,,,,,
24,228.3,16.9,26.2,15.5,16.57138307,1.147861693,,,,,,,,
25,62.3,12.6,18.3,9.7,8.184501468,2.296735802,,,,,,,,
26,262.9,3.5,19.5,12,15.69190946,13.63019549,,,,,,,,
27,142.9,29.3,12.6,15,14.94233034,0.00332579,,,,,,,,
28,240.1,16.7,22.9,15.9,17.07462071,1.379733806,,,,,,,,
29,248.8,27.1,22.9,18.9,19.38422228,0.23447122,,,,,,,,
30,70.6,16,40.8,10.5,9.189232764,1.718110748,,,,,,,,
31,292.9,28.3,43.2,21.4,21.62289938,0.049684132,,,,,,,,
32,112.9,17.4,38.6,11.9,11.3822965,0.268016917,,,,,,,,
33,97.2,1.5,30,9.6,7.741485187,3.45407731,,,,,,,,
34,265.6,20,0.3,17.4,18.84808625,2.096953778,,,,,,,,
35,95.7,1.4,7.4,9.5,7.654462042,3.406010356,,,,,,,,
36,290.7,4.1,8.5,12.8,17.07438197,18.2703412,,,,,,,,
37,266.9,43.8,5,25.4,23.28189945,4.486349925,,,,,,,,
38,74.7,49.4,45.7,14.7,15.51561319,0.665224877,,,,,,,,
39,43.1,26.7,35.1,10.1,9.897372988,0.041057706,,,,,,,,
40,228,37.7,32,21.5,20.38059127,1.253075915,,,,,,,,
41,202.5,22.3,31.6,16.6,16.38320569,0.046999772,,,,,,,,
42,177,33.4,38.7,17.1,17.25638879,0.024457453,,,,,,,,
43,293.6,27.7,1.8,20.7,21.54465605,0.713443841,,,,,,,,
44,206.9,8.4,26.4,12.9,14.02980926,1.276468957,,,,,,,,
