Month,price
1964-01,4315
1964-02,4172
1964-03,4255
1964-04,4221
1964-05,4446
1964-06,4536
1964-07,3782
1964-08,3712
1964-09,4422
1964-10,5801
1964-11,7264
1964-12,8812
1965-01,4041
1965-02,3975
1965-03,4531
1965-04,4766
1965-05,5276
1965-06,4730
1965-07,4528
1965-08,3259
1965-09,5095
1965-10,5974
1965-11,8338
1965-12,9857
1966-01,4613
1966-02,4506
1966-03,5547
1966-04,5023
1966-05,5437
1966-06,5486
1966-07,4760
1966-08,3073
1966-09,5028
1966-10,6711
1966-11,9114
1966-12,10754
1967-01,6875
1967-02,4588
1967-03,5218
1967-04,6014
1967-05,6020
1967-06,6039
1967-07,5163
1967-08,3143
1967-09,6239
1967-10,6928
1967-11,9814
1967-12,12151
1968-01,5133
1968-02,5792
1968-03,5654
1968-04,5621
1968-05,6147
1968-06,6253
1968-07,5465
1968-08,3223
1968-09,6548
1968-10,8422
1968-11,11358
1968-12,12831
1969-01,5516
1969-02,5457
1969-03,6010
1969-04,5776
1969-05,6468
1969-06,6177
1969-07,5023
1969-08,3321
1969-09,6722
1969-10,8372
1969-11,12303
1969-12,15416
1970-01,4139
1970-02,4399
1970-03,4870
1970-04,5240
1970-05,4427
1970-06,5486
1970-07,5717
1970-08,3238
1970-09,6721
1970-10,7924
1970-11,11342
1970-12,14576
1971-01,5434
1971-02,4662
1971-03,5786
1971-04,6176
1971-05,6510
1971-06,6374
1971-07,6133
1971-08,3159
1971-09,7451
1971-10,8481
1971-11,11351
1971-12,14170
1972-01,5848
1972-02,5064
1972-03,6077
1972-04,6288
1972-05,6118
1972-06,6812
1972-07,5798
1972-08,2913
1972-09,7377
