Date,Open,High,Low,Close,Adj Close,Volume
10-10-2018,61521,64300,61521,63979.60156,63528.64844,6132
11-10-2018,62990,64269.64844,61709.05078,63427.5,62980.43359,6805
12-10-2018,63620,64959.94922,63620,63978.35156,63527.40625,11121
15-10-2018,63625.19922,64579.85156,62000,62600.60156,62159.36719,12243
16-10-2018,62991.85156,63980,62862.14844,63212.94922,62767.38672,6090
17-10-2018,63750,64263.75,61900,62101.85156,61664.12891,6380
19-10-2018,61965,62690,60900,61967.85156,61531.06641,7567
22-10-2018,62749.94922,62749.94922,61999,62206.94922,61768.48828,4196
23-10-2018,61600,62177,61301,61723.64844,61288.58984,5082
24-10-2018,62440,62700,61805.14844,62350,61910.51953,3986
25-10-2018,62000,62480,60800,61362.5,60929.98438,7477
26-10-2018,61300,63421.5,60666,63056.14844,62611.70703,10200
29-10-2018,63200,64350,62525,63932.25,63481.625,5004
30-10-2018,63402.19922,64900,63402.19922,64309.14844,63855.85938,6896
31-10-2018,64342,64900,63684,64498.55078,64043.93359,4183
01-11-2018,64498.55078,65350,64498.05078,64742.05078,64285.72266,4418
02-11-2018,65050,66676.54688,65012.39844,66480.79688,66012.21094,6742
05-11-2018,66700,66800,65910,66153.79688,65687.50781,3810
06-11-2018,66200,66607.39844,64900,65160.69922,64701.41016,4248
07-11-2018,65670,65933.14844,65177,65564.95313,65102.82031,1058
09-11-2018,65050.10156,66502,64513.14844,66345.10156,65877.46875,10673
12-11-2018,66345,66985.04688,65060.5,65203.14844,64743.56641,4542
13-11-2018,65203.14844,66190,64802.05078,65822.14844,65358.21094,4985
14-11-2018,66100,66740,65240,65545.95313,65083.94922,8200
15-11-2018,65999,66333,65200,65784.85156,65321.17969,7974
16-11-2018,65900,66800,65588.45313,65754.95313,65291.47266,5438
19-11-2018,65770,66400,65501,66190.29688,65726.75781,3936
20-11-2018,66200,66330,65713.20313,66024.45313,65562.07813,3325
21-11-2018,66251,67568,66110,67324.20313,66852.71875,8262
22-11-2018,67400,68169.95313,67202,67607.39844,67133.94531,6407
26-11-2018,68000,68710,67607.45313,68198.75,67721.13281,10287
27-11-2018,67866.20313,68680,67400.04688,68575.25,68095,6030
28-11-2018,68501,69340,68360.75,68792.25,68310.47656,6588
29-11-2018,69002,69150,68011,68289.89844,67811.64844,7575
30-11-2018,68400,68678.54688,67150.89844,67332.04688,66860.5,5175
03-12-2018,67500,67949,66608,66692.85156,66225.77344,5041
04-12-2018,66800,67137.70313,65931.95313,66128.75,65665.625,2992
05-12-2018,66000,66196.64844,65136,65284,64826.79688,3690
06-12-2018,65299,65312.05078,64445.05078,64764.80078,64311.23438,2960
07-12-2018,65269,65700,64864.05078,65574.85156,65115.61719,3550
10-12-2018,64100.05078,64895.44922,64100.05078,64364.60156,63913.84766,3289
11-12-2018,63666,66500,63666,66171.70313,65708.28906,7236
12-12-2018,66272,68490,66222,68146.54688,67669.30469,6981
13-12-2018,68280,68899,67102.70313,67463.54688,66991.08594,5719
14-12-2018,67299,67500,66050,66335.04688,65870.48438,5721
17-12-2018,66415,67200,66222,66375.14844,65910.29688,3561
18-12-2018,66477,67998.95313,66100.04688,67561.5,67088.35938,4752
19-12-2018,68000,69500,67749.39844,69326.95313,68841.44531,10484
