PERIOD,FMCG EXC WHEAT,MACRO SNACKING,BRANDED SALTY SNACKS
2010 Jan,1176470,65237,7054
2010 Feb,1185699,66323,7314
2010 Mar,1196440,63891,7275
2010 Apr,1141086,65554,6930
2010 May,1093736,64118,6771
2010 Jun,1090716,67337,7034
2010 Jul,1119920,67523,7210
2010 Aug,1115130,69885,7764
2010 Sep,1105315,70677,8015
2010 Oct,1117356,69603,7868
2010 Nov,1154778,69024,8293
2010 Dec,1131186,71197,8082
2011 Jan,1231409,71456,8341
2011 Feb,1234354,72313,8272
2011 Mar,1258093,70676,8065
2011 Apr,1296696,73435,8311
2011 May,1301269,73265,8363
2011 Jun,1270539,76042,8320
2011 Jul,1239340,75512,8741
2011 Aug,1244021,76610,9045
2011 Sep,1244755,76367,8709
2011 Oct,1291866,73012,8833
2011 Nov,1237415,72928,8172
2011 Dec,1256092,75993,8652
2012 Jan,1263313,75136,8750
2012 Feb,1269518,76173,8747
2012 Mar,1300179,75716,8808
2012 Apr,1314586,76907,9094
2012 May,1328857,75150,8546
2012 Jun,1318407,79627,9536
2012 Jul,1285377,80438,9528
2012 Aug,1284746,84107,10221
2012 Sep,1267047,81545,9801
2012 Oct,1290915,81235,10048
2012 Nov,1325494,77668,9611
2012 Dec,1279869,76293,8878
2013 Jan,1335679,77583,10094
2013 Feb,1349617,79679,10941
2013 Mar,1377364,77328,11344
2013 Apr,1410128,75214,10877
2013 May,1397441,73794,10457
2013 Jun,1379129,78696,10960
2013 Jul,1371509,78914,10849
2013 Aug,1379135,83349,11758
2013 Sep,1363133,81187,11787
2013 Oct,1382148,78859,11275
2013 Nov,1406063,78105,11347
2013 Dec,1396606,80208,12175
2014 Jan,1397967,82321,11923
2014 Feb,1406529,83498,12080
2014 Mar,1427940,81058,11856
2014 Apr,1449767,81699,12010
2014 May,1460675,80306,11941
2014 Jun,1462146,84246,11667
2014 Jul,1427712,86359,11934
2014 Aug,1416563,87333,12887
2014 Sep,1401601,85016,12269
2014 Oct,1437026,81918,12160
2014 Nov,1389156,82991,12350
2014 Dec,1417065,84680,12324
2015 Jan,1412186,84720,12295
2015 Feb,1418030,85104,12825
2015 Mar,1451455,83657,12589
2015 Apr,1511552,87388,12622
2015 May,1508675,81360,12112
2015 Jun,1461570,78038,12964
2015 Jul,1456261,80520,13084
2015 Aug,1448218,80376,13439
2015 Sep,1442790,80147,13275
2015 Oct,1446167,79801,13200
2015 Nov,1479578,78623,12872
2015 Dec,1458728,80910,12728
2016 Jan,1473824,83461,13155
2016 Feb,1485949,85426,13186
2016 Mar,1496103,82199,12775
2016 Apr,1552323,84243,13051
2016 May,1559851,85628,12763
2016 Jun,1520512,87633,13169
2016 Jul,1514070,91391,13633
2016 Aug,1526218,94508,14688
2016 Sep,1494028,92922,14498
2016 Oct,1518534,90990,14412
2016 Nov,1492872,87632,13437
2016 Dec,1477675,89163,13259
2017 Jan,1512839,91564,13827
2017 Feb,1512578,93542,14520
2017 Mar,1547153,91565,14277
2017 Apr,1589753,93532,14141
2017 May,1586688,93664,14007
2017 Jun,1593009,98287,14970
2017 Jul,1554441,101047,15379
2017 Aug,1548729,101661,15663
2017 Sep,1543445,102728,15717
2017 Oct,1572466,96098,14735
2017 Nov,1489101,98353,14527
2017 Dec,1525672,99635,14793
2018 Jan,1554760,101945,15072
2018 Feb,1546136,103064,15432
2018 Mar,1559440,102998,15352
2018 Apr,1582095,101249,15077
2018 May,1601620,97583,14812
2018 Jun,1562359,98010,14888
2018 Jul,1526606,102904,15197
2018 Aug,1530860,106618,16523
2018 Sep,1528762,107650,17070
2018 Oct,1541401,105533,16908
2018 Nov,1543901,103534,16890
2018 Dec,1524227,102963,15782
2019 Jan,1561422,109346,16933
2019 Feb,1547208,110036,17094
2019 Mar,1567187,106312,16404
2019 Apr,1594584,106840,16759
2019 May,1601925,106583,16354
2019 Jun,1593401,109654,17135
2019 Jul,1576844,110668,17361
2019 Aug,1557722,109094,18069
2019 Sep,1559567,110102,18661
2019 Oct,1570436,108767,18170
2019 Nov,1550438,109895,18070
2019 Dec,1556157,111500,18078
2020 Jan,1566347,112661,19495
2020 Feb,1566246,111396,19231
2020 Mar,1621612,111088,18082
2020 Apr,1662099,115520,17484
2020 May,1700358,120563,18119
