DATE,UMTMVS
01-01-1992,209438
01-02-1992,232679
01-03-1992,249673
01-04-1992,239666
01-05-1992,243231
01-06-1992,262854
01-07-1992,222832
01-08-1992,240299
01-09-1992,260216
01-10-1992,252272
01-11-1992,245261
01-12-1992,245603
01-01-1993,223258
01-02-1993,246941
01-03-1993,264886
01-04-1993,249181
01-05-1993,250870
01-06-1993,271047
01-07-1993,224077
01-08-1993,248963
01-09-1993,269227
01-10-1993,263075
01-11-1993,256142
01-12-1993,252830
01-01-1994,234097
01-02-1994,259041
01-03-1994,277243
01-04-1994,261755
01-05-1994,267573
01-06-1994,287336
01-07-1994,239931
01-08-1994,276947
01-09-1994,291357
01-10-1994,282489
01-11-1994,280455
01-12-1994,279888
01-01-1995,260175
01-02-1995,286290
01-03-1995,303201
01-04-1995,283129
01-05-1995,289257
01-06-1995,310201
01-07-1995,255163
01-08-1995,293605
01-09-1995,313228
01-10-1995,301301
01-11-1995,293164
01-12-1995,290963
01-01-1996,263041
01-02-1996,290317
01-03-1996,306595
01-04-1996,294667
01-05-1996,303878
01-06-1996,319275
01-07-1996,270709
01-08-1996,304070
01-09-1996,323521
01-10-1996,312818
01-11-1996,307398
01-12-1996,300899
01-01-1997,280870
01-02-1997,310543
01-03-1997,329048
01-04-1997,316494
01-05-1997,316308
01-06-1997,341587
01-07-1997,290346
01-08-1997,321433
01-09-1997,347510
01-10-1997,334742
01-11-1997,322424
01-12-1997,323394
01-01-1998,290004
01-02-1998,324545
01-03-1998,347313
01-04-1998,322621
01-05-1998,322996
01-06-1998,345174
01-07-1998,287703
01-08-1998,323246
01-09-1998,349182
01-10-1998,336238
01-11-1998,324932
01-12-1998,325859
01-01-1999,293222
01-02-1999,325775
01-03-1999,352735
01-04-1999,328363
01-05-1999,332825
01-06-1999,360090
01-07-1999,300148
01-08-1999,343497
01-09-1999,362479
01-10-1999,348259
01-11-1999,342120
01-12-1999,342374
01-01-2000,314656
01-02-2000,342744
01-03-2000,374859
01-04-2000,344093
01-05-2000,356402
01-06-2000,383228
01-07-2000,314885
01-08-2000,355114
01-09-2000,377093
01-10-2000,356771
01-11-2000,344370
01-12-2000,344369
01-01-2001,313393
01-02-2001,333448
01-03-2001,362498
01-04-2001,324116
01-05-2001,346311
01-06-2001,353005
01-07-2001,297903
01-08-2001,340571
01-09-2001,334783
01-10-2001,332093
01-11-2001,317373
01-12-2001,315005
01-01-2002,294008
01-02-2002,306665
01-03-2002,337877
01-04-2002,325061
01-05-2002,338430
01-06-2002,343532
01-07-2002,300402
01-08-2002,337490
01-09-2002,345682
01-10-2002,343614
01-11-2002,324259
01-12-2002,317703
01-01-2003,305102
01-02-2003,317506
01-03-2003,352641
01-04-2003,323894
01-05-2003,334938
01-06-2003,351090
01-07-2003,312163
01-08-2003,337448
01-09-2003,357845
01-10-2003,356066
01-11-2003,329062
01-12-2003,337633
01-01-2004,311470
01-02-2004,330954
01-03-2004,378915
01-04-2004,349906
01-05-2004,356301
01-06-2004,379725
01-07-2004,332134
01-08-2004,371578
01-09-2004,381186
01-10-2004,377425
01-11-2004,367316
01-12-2004,372060
01-01-2005,346845
01-02-2005,360009
01-03-2005,408699
01-04-2005,386657
01-05-2005,396886
01-06-2005,417555
01-07-2005,362573
01-08-2005,416538
01-09-2005,423813
01-10-2005,414186
01-11-2005,401328
01-12-2005,406988
01-01-2006,380278
01-02-2006,386860
01-03-2006,444217
01-04-2006,402039
01-05-2006,438708
01-06-2006,452172
01-07-2006,392564
01-08-2006,444840
01-09-2006,427888
01-10-2006,422912
01-11-2006,408549
01-12-2006,414525
01-01-2007,388574
01-02-2007,397035
01-03-2007,454967
01-04-2007,431264
01-05-2007,460286
01-06-2007,469555
01-07-2007,423669
01-08-2007,468381
01-09-2007,455609
01-10-2007,470641
01-11-2007,453942
01-12-2007,445534
01-01-2008,432307
01-02-2008,442996
01-03-2008,474592
01-04-2008,475667
01-05-2008,490500
01-06-2008,510081
01-07-2008,476948
01-08-2008,482530
01-09-2008,471799
01-10-2008,450521
01-11-2008,383475
01-12-2008,377578
01-01-2009,337101
01-02-2009,340896
01-03-2009,374521
01-04-2009,354790
01-05-2009,358584
01-06-2009,385206
01-07-2009,358332
01-08-2009,377369
01-09-2009,389504
01-10-2009,389108
01-11-2009,372369
01-12-2009,385999
01-01-2010,359013
01-02-2010,362439
01-03-2010,424203
01-04-2010,408902
01-05-2010,408799
01-06-2010,428819
01-07-2010,398302
01-08-2010,424860
01-09-2010,431329
01-10-2010,425072
01-11-2010,412464
01-12-2010,427075
01-01-2011,403211
01-02-2011,407684
01-03-2011,485327
01-04-2011,456422
01-05-2011,466496
01-06-2011,484994
01-07-2011,445432
01-08-2011,484300
01-09-2011,478009
01-10-2011,469514
01-11-2011,453233
01-12-2011,457272
01-01-2012,434180
01-02-2012,454085
01-03-2012,503155
01-04-2012,472886
01-05-2012,492985
01-06-2012,487993
01-07-2012,453560
01-08-2012,493770
01-09-2012,482268
01-10-2012,491794
01-11-2012,467007
01-12-2012,463045
01-01-2013,447825
01-02-2013,453495
01-03-2013,501472
01-04-2013,481813
01-05-2013,501730
01-06-2013,496620
01-07-2013,472578
01-08-2013,502365
01-09-2013,497243
01-10-2013,502409
01-11-2013,475238
01-12-2013,476957
01-01-2014,451848
01-02-2014,457671
01-03-2014,513700
01-04-2014,496599
01-05-2014,506633
01-06-2014,516935
01-07-2014,487886
01-08-2014,506579
01-09-2014,512988
01-10-2014,505685
01-11-2014,458472
01-12-2014,472563
01-01-2015,424095
01-02-2015,430233
01-03-2015,492451
01-04-2015,468957
01-05-2015,468526
01-06-2015,495062
01-07-2015,453879
01-08-2015,469213
01-09-2015,477402
01-10-2015,465063
01-11-2015,435515
01-12-2015,438624
01-01-2016,398051
01-02-2016,423282
01-03-2016,471259
01-04-2016,439410
01-05-2016,451226
01-06-2016,474696
01-07-2016,421557
01-08-2016,464790
01-09-2016,468055
01-10-2016,452861
01-11-2016,438012
01-12-2016,451495
01-01-2017,421083
01-02-2017,427284
01-03-2017,491455
01-04-2017,449373
01-05-2017,478519
01-06-2017,491415
01-07-2017,440348
01-08-2017,489567
01-09-2017,485527
01-10-2017,486150
01-11-2017,473983
01-12-2017,470212
01-01-2018,453777
01-02-2018,455059
01-03-2018,518285
01-04-2018,489659
01-05-2018,515105
01-06-2018,525660
01-07-2018,482868
01-08-2018,529157
01-09-2018,516992
01-10-2018,527031
01-11-2018,495901
01-12-2018,490076
01-01-2019,466791
